[2026-07-01 12:48:57] ALERT Level 3 (CRITICAL) - Frame ID: test_input.jpg - Max Width: 1.32mm, Length: 89.0mm. Action Required: Immediate shutdown & emergency maintenance inspection
[2026-07-02 14:45:09] ALERT Level 3 (CRITICAL) - Frame ID: test_input.jpg - Max Width: 1.32mm, Length: 89.0mm. Action Required: Immediate shutdown & emergency maintenance inspection
[2026-07-02 14:46:37] ALERT Level 3 (CRITICAL) - Frame ID: test_input.jpg - Max Width: 1.32mm, Length: 89.0mm. Action Required: Immediate shutdown & emergency maintenance inspection
[2026-07-02 14:48:29] ALERT Level 3 (CRITICAL) - Frame ID: test_input.jpg - Max Width: 1.32mm, Length: 88.8mm. Action Required: Immediate shutdown & emergency maintenance inspection
[2026-07-02 15:05:44] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 0.596mm, Length: 59.3mm - Trigger Reason: Width 0.596mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 11:09:16] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 0.597mm, Length: 59.5mm - Trigger Reason: Width 0.597mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 11:12:51] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.915mm, Length: 60.2mm - Trigger Reason: Width 2.915mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 11:58:20] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.931mm, Length: 60.2mm - Trigger Reason: Width 2.931mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:02:09] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.934mm, Length: 60.2mm - Trigger Reason: Width 2.934mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:04:34] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.924mm, Length: 60.3mm - Trigger Reason: Width 2.924mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:06:13] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.885mm, Length: 59.8mm - Trigger Reason: Width 2.885mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:12:28] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.945mm, Length: 60.2mm - Trigger Reason: Width 2.945mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:13:55] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.925mm, Length: 60.0mm - Trigger Reason: Width 2.925mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:14:27] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.886mm, Length: 59.5mm - Trigger Reason: Width 2.886mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:15:53] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.935mm, Length: 60.1mm - Trigger Reason: Width 2.935mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:17:33] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.871mm, Length: 60.1mm - Trigger Reason: Width 2.871mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:22:06] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.910mm, Length: 60.6mm - Trigger Reason: Width 2.910mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:22:33] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.939mm, Length: 59.6mm - Trigger Reason: Width 2.939mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:50] ALERT LEVEL_3 (Level 3) - Frame ID: test_input.jpg - Track ID: 1 - Width: 2.948mm, Length: 59.9mm - Trigger Reason: Width 2.948mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:51] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_1 - Track ID: 2 - Width: 2.988mm, Length: 16.8mm - Trigger Reason: Width 2.988mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:51] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_1 - Track ID: 3 - Width: 2.525mm, Length: 5.7mm - Trigger Reason: Width 2.525mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:51] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_1 - Track ID: 5 - Width: 2.604mm, Length: 21.3mm - Trigger Reason: Width 2.604mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:51] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_1 - Track ID: 6 - Width: 2.980mm, Length: 26.1mm - Trigger Reason: Width 2.980mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:52] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_5 - Track ID: 7 - Width: 0.600mm, Length: 2.7mm - Trigger Reason: Width 0.600mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:53] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_9 - Track ID: 8 - Width: 2.658mm, Length: 26.7mm - Trigger Reason: Width 2.658mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:53] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_9 - Track ID: 9 - Width: 2.776mm, Length: 26.5mm - Trigger Reason: Width 2.776mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:54] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_19 - Track ID: 10 - Width: 2.898mm, Length: 25.9mm - Trigger Reason: Width 2.898mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:55] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_21 - Track ID: 11 - Width: 2.859mm, Length: 27.2mm - Trigger Reason: Width 2.859mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:55] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_24 - Track ID: 12 - Width: 2.878mm, Length: 26.6mm - Trigger Reason: Width 2.878mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:55] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_25 - Track ID: 13 - Width: 2.878mm, Length: 26.0mm - Trigger Reason: Width 2.878mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:56] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_33 - Track ID: 14 - Width: 2.904mm, Length: 26.4mm - Trigger Reason: Width 2.904mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:57] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_38 - Track ID: 15 - Width: 2.860mm, Length: 24.4mm - Trigger Reason: Width 2.860mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:59] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_48 - Track ID: 16 - Width: 2.949mm, Length: 26.0mm - Trigger Reason: Width 2.949mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:29:59] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_51 - Track ID: 18 - Width: 2.856mm, Length: 26.0mm - Trigger Reason: Width 2.856mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:00] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_57 - Track ID: 19 - Width: 2.738mm, Length: 24.6mm - Trigger Reason: Width 2.738mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:00] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_59 - Track ID: 20 - Width: 2.872mm, Length: 26.8mm - Trigger Reason: Width 2.872mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:01] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_64 - Track ID: 21 - Width: 2.633mm, Length: 26.6mm - Trigger Reason: Width 2.633mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:01] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_67 - Track ID: 22 - Width: 2.813mm, Length: 25.9mm - Trigger Reason: Width 2.813mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:01] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_67 - Track ID: 23 - Width: 2.752mm, Length: 24.9mm - Trigger Reason: Width 2.752mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:01] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_67 - Track ID: 24 - Width: 2.790mm, Length: 24.7mm - Trigger Reason: Width 2.790mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:03] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_74 - Track ID: 26 - Width: 2.856mm, Length: 26.3mm - Trigger Reason: Width 2.856mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:03] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_76 - Track ID: 27 - Width: 2.989mm, Length: 25.7mm - Trigger Reason: Width 2.989mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:03] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_76 - Track ID: 28 - Width: 2.850mm, Length: 26.7mm - Trigger Reason: Width 2.850mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:04] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_81 - Track ID: 29 - Width: 0.985mm, Length: 2.0mm - Trigger Reason: Width 0.985mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:05] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_92 - Track ID: 30 - Width: 2.756mm, Length: 24.3mm - Trigger Reason: Width 2.756mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:06] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_94 - Track ID: 31 - Width: 2.679mm, Length: 20.3mm - Trigger Reason: Width 2.679mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:06] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_94 - Track ID: 32 - Width: 2.550mm, Length: 25.2mm - Trigger Reason: Width 2.550mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:06] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_95 - Track ID: 33 - Width: 2.984mm, Length: 32.7mm - Trigger Reason: Width 2.984mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:07] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_103 - Track ID: 34 - Width: 0.874mm, Length: 4.7mm - Trigger Reason: Width 0.874mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:09] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_115 - Track ID: 35 - Width: 2.671mm, Length: 26.4mm - Trigger Reason: Width 2.671mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:09] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_118 - Track ID: 36 - Width: 2.579mm, Length: 20.5mm - Trigger Reason: Width 2.579mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:09] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_119 - Track ID: 37 - Width: 2.755mm, Length: 27.4mm - Trigger Reason: Width 2.755mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:10] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_128 - Track ID: 38 - Width: 2.627mm, Length: 25.5mm - Trigger Reason: Width 2.627mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
